2026/03/13 09:48:00.781262 [09:48:00.781] INFO  ROC Modbus Expert v4.0 | EPM | https://localhost:8443 | hex= dur=
2026/03/13 09:48:19.709078 [09:48:19.709] SYNC  LLANOS: conectando… | sid=3d2c3674
2026/03/13 09:48:29.161294 [09:48:29.161] DEBUG [LLANOS] → 10.50.184.208:502 addr=10000 qty=1 | TX: 000100000006020327100001
  ← ptr=0 | RX: 00003043 | sid=3d2c3674
2026/03/13 09:48:29.161294 [09:48:29.161] WARN  [LLANOS] ptr=0 — omitiendo lectura de registro actual (qty=0 inválido), se hará full sync | sid=3d2c3674
2026/03/13 09:48:29.161294 [09:48:29.161] WARN  [LLANOS] ptr=0 omitido (qty=0 inválido en Modbus estándar) | sid=3d2c3674
2026/03/13 09:48:30.021715 [09:48:30.021] SYNC  LLANOS: 5/840 (0%) | sid=3d2c3674
2026/03/13 09:48:31.700282 [09:48:31.700] SYNC  LLANOS: 10/840 (1%) | sid=3d2c3674
2026/03/13 09:48:32.720555 [09:48:32.720] SYNC  LLANOS: 15/840 (1%) | sid=3d2c3674
2026/03/13 09:48:33.780962 [09:48:33.780] SYNC  LLANOS: 20/840 (2%) | sid=3d2c3674
2026/03/13 09:48:34.928101 [09:48:34.928] SYNC  LLANOS: 25/840 (2%) | sid=3d2c3674
2026/03/13 09:48:35.800408 [09:48:35.800] SYNC  LLANOS: 30/840 (3%) | sid=3d2c3674
2026/03/13 09:48:36.739896 [09:48:36.739] SYNC  LLANOS: 35/840 (4%) | sid=3d2c3674
2026/03/13 09:48:37.789699 [09:48:37.789] SYNC  LLANOS: 40/840 (4%) | sid=3d2c3674
2026/03/13 09:48:39.017848 [09:48:39.017] SYNC  LLANOS: 45/840 (5%) | sid=3d2c3674
2026/03/13 09:48:40.200229 [09:48:40.200] SYNC  LLANOS: 50/840 (5%) | sid=3d2c3674
2026/03/13 09:48:41.359419 [09:48:41.359] SYNC  LLANOS: 55/840 (6%) | sid=3d2c3674
2026/03/13 09:48:42.240244 [09:48:42.240] SYNC  LLANOS: 60/840 (7%) | sid=3d2c3674
2026/03/13 09:48:43.199203 [09:48:43.199] SYNC  LLANOS: 65/840 (7%) | sid=3d2c3674
2026/03/13 09:48:44.568316 [09:48:44.568] SYNC  LLANOS: 70/840 (8%) | sid=3d2c3674
2026/03/13 09:48:45.687362 [09:48:45.687] SYNC  LLANOS: 75/840 (8%) | sid=3d2c3674
2026/03/13 09:48:46.808458 [09:48:46.808] SYNC  LLANOS: 80/840 (9%) | sid=3d2c3674
2026/03/13 09:48:47.767181 [09:48:47.767] SYNC  LLANOS: 85/840 (10%) | sid=3d2c3674
2026/03/13 09:48:48.748073 [09:48:48.748] SYNC  LLANOS: 90/840 (10%) | sid=3d2c3674
2026/03/13 09:48:49.939414 [09:48:49.939] SYNC  LLANOS: 95/840 (11%) | sid=3d2c3674
2026/03/13 09:48:51.079025 [09:48:51.079] SYNC  LLANOS: 100/840 (11%) | sid=3d2c3674
2026/03/13 09:48:52.183079 [09:48:52.183] SYNC  LLANOS: 105/840 (12%) | sid=3d2c3674
2026/03/13 09:48:53.198726 [09:48:53.198] SYNC  LLANOS: 110/840 (13%) | sid=3d2c3674
2026/03/13 09:48:54.158596 [09:48:54.158] SYNC  LLANOS: 115/840 (13%) | sid=3d2c3674
2026/03/13 09:48:55.039261 [09:48:55.039] SYNC  LLANOS: 120/840 (14%) | sid=3d2c3674
2026/03/13 09:48:56.095350 [09:48:56.095] SYNC  LLANOS: 125/840 (14%) | sid=3d2c3674
2026/03/13 09:48:57.207255 [09:48:57.207] SYNC  LLANOS: 130/840 (15%) | sid=3d2c3674
2026/03/13 09:48:58.260298 [09:48:58.260] SYNC  LLANOS: 135/840 (16%) | sid=3d2c3674
2026/03/13 09:48:59.378689 [09:48:59.378] SYNC  LLANOS: 140/840 (16%) | sid=3d2c3674
2026/03/13 09:49:00.507347 [09:49:00.507] SYNC  LLANOS: 145/840 (17%) | sid=3d2c3674
2026/03/13 09:49:01.718890 [09:49:01.718] SYNC  LLANOS: 150/840 (17%) | sid=3d2c3674
2026/03/13 09:49:02.800023 [09:49:02.800] SYNC  LLANOS: 155/840 (18%) | sid=3d2c3674
2026/03/13 09:49:03.778403 [09:49:03.778] SYNC  LLANOS: 160/840 (19%) | sid=3d2c3674
2026/03/13 09:49:04.798055 [09:49:04.798] SYNC  LLANOS: 165/840 (19%) | sid=3d2c3674
2026/03/13 09:49:05.838678 [09:49:05.838] SYNC  LLANOS: 170/840 (20%) | sid=3d2c3674
2026/03/13 09:49:06.798722 [09:49:06.798] SYNC  LLANOS: 175/840 (20%) | sid=3d2c3674
2026/03/13 09:49:08.098278 [09:49:08.098] SYNC  LLANOS: 180/840 (21%) | sid=3d2c3674
